Name,Ann_Return,Ann_Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Calmar_Ratio,VaR_95,CVaR_95,Skewness,Kurtosis,Win_Rate,Beta
ADANIPORTS,0.2541,0.3818,0.5085,0.7479,-0.5369,0.4733,-0.033839,-0.052019,-0.0191,4.5983,0.5009,1.2018
ASIANPAINT,0.2027,0.3549,0.4022,0.3909,-0.9248,0.2192,-0.024649,-0.042353,-14.0213,528.7166,0.5078,0.5206
AXISBANK,0.1683,0.4758,0.2276,0.2586,-0.8502,0.198,-0.039063,-0.062549,-5.5804,154.8485,0.5025,1.4626
BAJAJ-AUTO,0.2084,0.3388,0.4381,0.5131,-0.5992,0.3479,-0.027119,-0.045322,-4.1531,102.8665,0.5055,0.8544
BAJAJFINSV,0.3193,0.4008,0.647,0.9109,-0.8679,0.3679,-0.034967,-0.055687,-0.1215,9.2782,0.5014,1.0244
BAJAUTOFIN,0.3891,0.4982,0.6606,1.0416,-0.918,0.4239,-0.042418,-0.064974,0.9778,7.4933,0.4889,0.7833
BAJFINANCE,0.391,0.4668,0.7091,0.7007,-0.9328,0.4192,-0.03279,-0.058098,-10.9715,335.6557,0.52,1.2511
BHARTI,0.5877,0.4475,1.1791,2.1043,-0.5419,1.0844,-0.037656,-0.053472,0.8538,3.7789,0.489,0.9361
BHARTIARTL,0.1047,0.3845,0.1163,0.1551,-0.7847,0.1334,-0.034269,-0.051187,-1.8034,49.5529,0.4935,0.8901
BPCL,0.123,0.4682,0.1346,0.1591,-0.7731,0.1591,-0.0387,-0.064555,-3.0003,54.3705,0.4982,0.9443
BRITANNIA,0.1494,0.3357,0.2663,0.2761,-0.8536,0.175,-0.024213,-0.039848,-11.2706,393.7818,0.4927,0.4495
CIPLA,0.0818,0.3871,0.0563,0.0589,-0.8907,0.0918,-0.029271,-0.049856,-9.3635,286.7635,0.4909,0.7092
COALINDIA,-0.0473,0.2983,-0.3596,-0.5334,-0.7507,-0.063,-0.029185,-0.041305,0.0664,4.2721,0.4898,0.796
DRREDDY,0.1331,0.369,0.1982,0.2276,-0.8131,0.1637,-0.0304,-0.051853,-3.7383,86.3751,0.5122,0.6351
EICHERMOT,0.3448,0.4806,0.5926,0.7414,-0.9382,0.3675,-0.037311,-0.059628,-4.3067,152.278,0.4935,0.9506
GAIL,0.1179,0.4028,0.1438,0.173,-0.8723,0.1352,-0.033074,-0.054806,-2.3189,54.4226,0.5011,1.0064
GRASIM,0.1562,0.3956,0.2433,0.2744,-0.9243,0.169,-0.032568,-0.05349,-6.2043,200.6534,0.5029,0.9684
HCLTECH,0.1212,0.5163,0.1185,0.1332,-0.9682,0.1251,-0.043679,-0.076388,-2.8645,47.6371,0.5163,1.1659
HDFC,0.2112,0.4142,0.3651,0.4096,-0.8147,0.2592,-0.032528,-0.053741,-6.3523,190.4322,0.5031,0.9274
HDFCBANK,0.199,0.3805,0.3652,0.3878,-0.8418,0.2364,-0.028034,-0.047909,-8.3387,273.6632,0.5073,0.8999
